x,y,s,kappa,dkappa,theta
-320.709306346,205.943706328,3.1202812692,-0.0120478144,0.0120570729,2.758510714
-320.72773931,205.95113719,3.1401556722,-0.0118066807,0.0122085872,2.7582736621
-320.746170531,205.958572377,3.1600300752,-0.0115625412,0.0123595536,2.7580414325
-320.764600042,205.9660118,3.1799044782,-0.0113154071,0.0125099429,2.7578140847
-320.78302788,205.973455366,3.1997788811,-0.01106529,0.0126597256,2.7575916783
-320.80145408,205.980902986,3.2196532841,-0.0108122023,0.0128088724,2.7573742724
-320.81987868,205.988354564,3.2395276871,-0.010556157,0.0129573541,2.7571619258
-320.838301716,205.995810007,3.2594020901,-0.0102971675,0.0131051414,2.7569546972
-320.856723226,206.003269221,3.2792764931,-0.0100352481,0.0132522048,2.7567526451
-320.875143248,206.010732108,3.2991508961,-0.0097704132,0.0133985152,2.7565558274
-320.89356182,206.018198572,3.3190252991,-0.0095026783,0.0135440432,2.756364302
-320.911978982,206.025668514,3.3388997021,-0.009232059,0.0136887594,2.7561781264
-320.930394773,206.033141836,3.358774105,-0.008958572,0.0138326346,2.7559973577
-320.948809233,206.040618436,3.378648508,-0.0086822341,0.0139756394,2.7558220527
-320.967222403,206.048098213,3.398522911,-0.008403063,0.0141177446,2.755652268
-320.985634324,206.055581065,3.418397314,-0.0081210768,0.0142589208,2.7554880597
-321.004045036,206.063066889,3.438271717,-0.0078362942,0.0143991387,2.7553294835
-321.022454583,206.070555579,3.45814612,-0.0075487347,0.014538369,2.7551765947
-321.040863006,206.078047032,3.478020523,-0.0072584182,0.0146765823,2.7550294485
-321.059270348,206.08554114,3.497894926,-0.006965365,0.0148137495,2.7548880994
-321.077676652,206.093037796,3.517769329,-0.0066695964,0.014949841,2.7547526016
-321.096081963,206.100536891,3.5376437319,-0.006371134,0.0150848277,2.7546230088
-321.114486324,206.108038318,3.5575181349,-0.0060700001,0.0152186802,2.7544993743
-321.13288978,206.115541964,3.5773925379,-0.0057662174,0.0153513693,2.7543817511
-321.151292376,206.123047719,3.5972669409,-0.0054598094,0.0154828655,2.7542701914
-321.169694157,206.130555471,3.6171413439,-0.0051508001,0.0156131395,2.7541647474
-321.18809517,206.138065106,3.6370157469,-0.004839214,0.0157421622,2.7540654704
-321.20649546,206.145576511,3.6568901499,-0.0045250764,0.0158699041,2.7539724113
-321.224895075,206.153089571,3.6767645529,-0.0042084129,0.0159963359,2.7538856207
-321.243294061,206.160604169,3.6966389558,-0.00388925,0.0161214283,2.7538051485
-321.261692467,206.16812019,3.7165133588,-0.0035676145,0.0162451521,2.753731044
-321.280090339,206.175637515,3.7363877618,-0.0032435339,0.0163674778,2.7536633563
-321.298487727,206.183156026,3.7562621648,-0.0029170362,0.0164883762,2.7536021335
-321.31688468,206.190675604,3.7761365678,-0.0025881503,0.0166078179,2.7535474234
-321.335281245,206.198196128,3.7960109708,-0.0022569052,0.0167257737,2.7534992732
-321.353677473,206.205717476,3.8158853738,-0.0019233308,0.0168422143,2.7534577295
-321.372073414,206.213239528,3.8357597768,-0.0015874575,0.0169571102,2.7534228383
-321.390469117,206.220762161,3.8556341798,-0.0012493163,0.0170704323,2.753394645
-321.408864633,206.22828525,3.8755085827,-0.0009089388,0.0171821511,2.7533731943
-321.427260014,206.235808671,3.8953829857,-0.0005663571,0.0172922374,2.7533585304
-321.44565531,206.243332299,3.9152573887,-0.000221604,0.0174006619,2.7533506967
-321.464050573,206.250856008,3.9351317917,0.0001252872,0.0175073952,2.753349736
-321.482445854,206.258379671,3.9550061947,0.0004742826,0.017612408,2.7533556906
-321.500841207,206.265903161,3.9748805977,0.0008253478,0.0177156711,2.7533686019
-321.519236683,206.273426349,3.9947550007,0.0011784476,0.017817155,2.7533885107
-321.537632335,206.280949106,4.0146294037,0.0015335465,0.0179168306,2.7534154571
-321.556028216,206.288471303,4.0345038067,0.0018906081,0.0180146684,2.7534494803
-321.574424381,206.295992808,4.0543782096,0.0022495956,0.0181106392,2.7534906192
-321.592820881,206.30351349,4.0742526126,0.0026104718,0.0182047136,2.7535389116
-321.611217772,206.311033218,4.0941270156,0.0029731985,0.0182968623,2.7535943946
-321.629615107,206.318551859,4.1140014186,0.0033377373,0.0183870561,2.7536571047
-321.64801294,206.32606928,4.1338758216,0.0037040489,0.0184752655,2.7537270774
-321.666411327,206.333585346,4.1537502246,0.0040720937,0.0185614614,2.7538043477
-321.684810323,206.341099923,4.1736246276,0.0044418313,0.0186456143,2.7538889495
-321.703209981,206.348612875,4.1934990306,0.0048132208,0.018727695,2.7539809161
-321.721610358,206.356124068,4.2133734335,0.0051862209,0.0188076741,2.75408028
