x,y
-327.802001953,207.570007324
-327.881011963,207.561004639
-327.963012695,207.552993774
-328.045013428,207.539993286
-328.12298584,207.522994995
-328.20401001,207.498001099
-328.286987305,207.479995728
-328.367004395,207.466003418
-328.45300293,207.447998047
-328.532989502,207.412002563
-328.608001709,207.37600708
-328.710998535,207.37399292
-328.79901123,207.350997925
-328.891998291,207.330001831
-328.976989746,207.294998169
-329.066986084,207.26499939
-329.153015137,207.229995728
-329.239990234,207.195007324
-329.324005127,207.149993896
-329.415985107,207.11000061
-329.506988525,207.074005127
-329.618011475,207.029998779
-329.699005127,206.981002808
-329.791992188,206.932006836
-329.87399292,206.886001587
-329.962005615,206.828994751
-330.037994385,206.776000977
-330.122009277,206.714996338
-330.199005127,206.658004761
-330.277008057,206.598999023
-330.345001221,206.539993286
-330.416992188,206.479003906
-330.477996826,206.429992676
-330.536010742,206.373001099
-330.585998535,206.320007324
-330.635986328,206.268005371
-330.687011719,206.220993042
-330.731994629,206.179992676
-330.778991699,206.134002686
-330.815002441,206.085006714
-330.865997314,206.037994385
-330.907989502,205.994995117
-330.938995361,205.95300293
-330.980010986,205.904998779
-331.018005371,205.867004395
-331.053009033,205.826004028
-331.087005615,205.779006958
-331.12600708,205.731002808
-331.158996582,205.692001343
-331.195007324,205.643997192
-331.235992432,205.582992554
-331.269012451,205.537994385
-331.300994873,205.494003296
-331.330993652,205.445007324
-331.361999512,205.395004272
-331.390991211,205.347000122
-331.420013428,205.300994873
-331.45300293,205.251998901
-331.476989746,205.20300293
-331.503997803,205.154006958
-331.542999268,205.089004517
-331.571014404,205.041000366
-331.596008301,204.992996216
-331.615997314,204.947006226
-331.643005371,204.891998291
-331.67098999,204.845001221
-331.692993164,204.796005249
-331.716003418,204.746994019
-331.736999512,204.697006226
-331.760986328,204.649002075
-331.799987793,204.587997437
-331.82699585,204.535003662
-331.841003418,204.490005493
-331.861999512,204.440002441
-331.882995605,204.389007568
-331.897003174,204.341003418
-331.912994385,204.29699707
-331.925994873,204.257995605
-331.941009521,204.222000122
-331.955993652,204.179992676
-331.971984863,204.138000488
-331.980987549,204.110992432
-331.984985352,204.089996338
-331.993988037,204.070999146
-332.006011963,204.04800415
-332.015014648,204.033004761
-332.019012451,204.01600647
-332.022003174,203.992004395
-332.028015137,203.955001831
-332.053985596,203.904998779
-332.070007324,203.850997925
-332.091003418,203.789993286
-332.109008789,203.722000122
-332.127990723,203.649002075
-332.161987305,203.557998657
-332.191009521,203.470001221
-332.212005615,203.389007568
-332.24899292,203.302001953
-332.273986816,203.223999023
-332.29699707,203.147003174
-332.324005127,203.072006226
-332.346984863,203.003005981
-332.368988037,202.93699646
-332.391998291,202.87399292
-332.408996582,202.81199646
-332.432006836,202.753005981
-332.45300293,202.692993164
