x,y,s,kappa,dkappa,theta
-302.9238960185,228.5213698379,4.1152749904,-0.0084484464,0.0070611443,1.1371436138
-302.915540937,228.5394094914,4.1351555459,-0.0083075612,0.0071119612,1.1369770528
-302.9071828762,228.5574477648,4.1550361014,-0.0081656696,0.0071623855,1.1368133026
-302.8988218873,228.5754846811,4.1749166569,-0.0080227794,0.0072124089,1.1366523833
-302.8904580216,228.5935202636,4.1947972124,-0.0078788989,0.0072620235,1.1364943146
-302.8820913311,228.6115545359,4.2146777679,-0.0077340361,0.007311221,1.136339116
-302.8737218678,228.6295875215,4.2345583234,-0.0075881994,0.0073599935,1.1361868072
-302.8653496842,228.6476192444,4.2544388789,-0.0074413974,0.0074083329,1.1360374072
-302.8569748331,228.6656497284,4.2743194344,-0.0072936388,0.007456231,1.1358909353
-302.8485973677,228.683678998,4.2941999899,-0.0071449324,0.0075036798,1.1357474103
-302.8402173414,228.7017070773,4.3140805454,-0.0069952872,0.0075506712,1.135606851
-302.831834808,228.7197339912,4.333961101,-0.0068447124,0.0075971972,1.1354692761
-302.8234498218,228.7377597641,4.3538416565,-0.0066932173,0.0076432495,1.1353347038
-302.815062437,228.7557844212,4.373722212,-0.0065408115,0.0076888202,1.1352031524
-302.8066727085,228.7738079875,4.3936027675,-0.0063875045,0.0077339012,1.1350746398
-302.7982806913,228.7918304883,4.413483323,-0.0062333063,0.0077784843,1.134949184
-302.7898864409,228.809851949,4.4333638785,-0.0060782267,0.0078225616,1.1348268025
-302.7814900128,228.8278723953,4.453244434,-0.0059222759,0.0078661248,1.1347075127
-302.7730914631,228.8458918528,4.4731249895,-0.0057654643,0.007909166,1.1345913319
-302.7646908481,228.8639103476,4.493005545,-0.0056078022,0.007951677,1.1344782771
-302.7562882244,228.8819279058,4.5128861005,-0.0054493003,0.0079936498,1.134368365
-302.7478836488,228.8999445535,4.532766656,-0.0052899694,0.0080350763,1.1342616123
-302.7394771785,228.9179603173,4.5526472116,-0.0051298205,0.0080759483,1.1341580354
-302.731068871,228.9359752237,4.5725277671,-0.0049688645,0.0081162579,1.1340576503
-302.7226587839,228.9539892993,4.5924083226,-0.0048071128,0.0081559968,1.1339604731
-302.7142469754,228.9720025712,4.6122888781,-0.0046445768,0.0081951571,1.1338665194
-302.7058335036,228.9900150663,4.6321694336,-0.0044812682,0.0082337307,1.1337758047
-302.6974184271,229.0080268118,4.6520499891,-0.0043171985,0.0082717094,1.1336883442
-302.6890018048,229.026037835,4.6719305446,-0.0041523798,0.0083090852,1.133604153
-302.6805836957,229.0440481633,4.6918111001,-0.0039868241,0.00834585,1.1335232459
-302.6721641591,229.0620578243,4.7116916556,-0.0038205436,0.0083819957,1.1334456373
-302.6637432547,229.0800668458,4.7315722111,-0.0036535508,0.0084175143,1.1333713415
-302.6553210422,229.0980752557,4.7514527666,-0.0034858581,0.0084523976,1.1333003727
-302.6468975818,229.1160830818,4.7713333222,-0.0033174783,0.0084866375,1.1332327445
-302.6384729337,229.1340903523,4.7912138777,-0.0031484243,0.008520226,1.1331684705
-302.6300471585,229.1520970955,4.8110944332,-0.002978709,0.0085531551,1.133107564
-302.6216203171,229.1701033397,4.8309749887,-0.0028083458,0.0085854165,1.133050038
-302.6131924703,229.1881091134,4.8508555442,-0.0026373478,0.0086170023,1.1329959053
-302.6047636796,229.2061144452,4.8707360997,-0.0024657287,0.0086479043,1.1329451783
-302.5963340062,229.2241193638,4.8906166552,-0.0022935021,0.0086781144,1.1328978692
-302.5879035119,229.242123898,4.9104972107,-0.0021206819,0.0087076246,1.13285399
