x,y,s,kappa,dkappa,theta
-311.21894179,201.841853487,0.6944454442,0.0081211799,0.0008048013,-0.3939037226
-311.200619366,201.834239951,0.7142867426,0.0081371381,0.0008034579,-0.3937424295
-311.182295714,201.826629374,0.734128041,0.0081530502,0.0008001528,-0.3935808202
-311.163970831,201.819021761,0.7539693394,0.0081688774,0.0007949033,-0.3934188959
-311.145644715,201.811417118,0.7738106378,0.0081845813,0.0007877267,-0.3932566587
-311.127317364,201.803815451,0.7936519362,0.0082001238,0.0007786405,-0.3930941115
-311.108988777,201.796216766,0.8134932346,0.0082154673,0.0007676621,-0.3929312578
-311.090658952,201.788621069,0.833334533,0.0082305743,0.0007548089,-0.392768102
-311.072327886,201.781028365,0.8531758314,0.0082454078,0.0007400982,-0.3926046491
-311.053995578,201.77343866,0.8730171298,0.0082599311,0.0007235474,-0.3924409048
-311.035662027,201.76585196,0.8928584282,0.0082741079,0.0007051739,-0.3922768758
-311.01732723,201.75826827,0.9126997266,0.0082879023,0.0006849951,-0.3921125693
-310.998991187,201.750687595,0.932541025,0.0083012785,0.0006630285,-0.3919479931
-310.980653895,201.74310994,0.9523823234,0.0083142013,0.0006392913,-0.391783156
-310.962315354,201.73553531,0.9722236218,0.0083266357,0.000613801,-0.3916180672
-310.943975561,201.72796371,0.9920649203,0.008338547,0.0005865749,-0.3914527369
-310.925634516,201.720395144,1.0119062187,0.0083499011,0.0005576305,-0.3912871757
-310.907292217,201.712829618,1.0317475171,0.008360664,0.0005269851,-0.3911213951
-310.888948664,201.705267133,1.0515888155,0.0083708021,0.0004946562,-0.390955407
-310.870603854,201.697707696,1.0714301139,0.0083802822,0.000460661,-0.3907892243
-310.852257788,201.690151309,1.0912714123,0.0083890714,0.0004250171,-0.3906228602
-310.833910465,201.682597976,1.1111127107,0.0083971372,0.0003877417,-0.3904563289
-310.815561883,201.675047699,1.1309540091,0.0084044473,0.0003488523,-0.390289645
-310.797212043,201.667500483,1.1507953075,0.00841097,0.0003083663,-0.3901228238
-310.778860943,201.659956329,1.1706366059,0.0084166737,0.000266301,-0.3899558813
-310.760508584,201.652415239,1.1904779043,0.0084215272,0.0002226739,-0.389788834
-310.742154965,201.644877216,1.2103192027,0.0084254997,0.0001775022,-0.389621699
-310.723800086,201.637342262,1.2301605011,0.0084285608,0.0001308035,-0.3894544943
-310.705443947,201.629810377,1.2500017995,0.0084306804,8.2595141E-05,-0.3892872381
-310.687086549,201.622281563,1.2698430979,0.0084318286,3.289443E-05,-0.3891199494
-310.668727891,201.61475582,1.2896843963,0.008431976,-1.8281204E-05,-0.3889526479
-310.650367974,201.607233148,1.3095256947,0.0084310935,-7.0914371E-05,-0.3887853535
-310.6320068,201.599713548,1.3293669931,0.0084291524,-0.0001249877,-0.3886180872
-310.613644368,201.592197019,1.3492082915,0.0084261242,-0.0001804838,-0.3884508701
-310.595280679,201.58468356,1.3690495899,0.008421981,-0.0002373852,-0.3882837241
-310.576915736,201.577173169,1.3888908884,0.008416695,-0.0002956746,-0.3881166716
-310.558549538,201.569665846,1.4087321868,0.0084102388,-0.0003553346,-0.3879497355
-310.540182088,201.562161587,1.4285734852,0.0084025854,-0.0004163479,-0.3877829394
-310.521813387,201.55466039,1.4484147836,0.0083937082,-0.0004786969,-0.3876163072
-310.503443437,201.547162253,1.468256082,0.0083835808,-0.0005423644,-0.3874498635
-310.48507224,201.539667172,1.4880973804,0.0083721772,-0.0006073329,-0.3872836334
