x,y,s,kappa,dkappa,theta
-312.472711151,203.04018582,0.4764003062,0.0036913585,0.0001906242,2.816821294
-312.491523711,203.046519113,0.496250319,0.0036951991,0.0001962537,2.8168946054
-312.510336735,203.052851026,0.5161003317,0.0036991465,0.0002013847,2.8169679942
-312.529150225,203.059181558,0.5359503445,0.0037031908,0.0002060217,2.8170414623
-312.547964179,203.065510706,0.5558003572,0.0037073223,0.000210169,2.8171150115
-312.566778599,203.07183847,0.57565037,0.0037115313,0.000213831,2.8171886436
-312.585593486,203.078164848,0.5955003827,0.0037158082,0.0002170123,2.8172623599
-312.604408839,203.084489839,0.6153503955,0.0037201435,0.000219717,2.8173361617
-312.623224659,203.090813439,0.6352004083,0.0037245279,0.0002219498,2.81741005
-312.642040946,203.097135649,0.655050421,0.0037289519,0.0002237149,2.8174840258
-312.660857701,203.103456466,0.6749004338,0.0037334063,0.0002250168,2.8175580897
-312.679674925,203.109775888,0.6947504465,0.003737882,0.0002258599,2.8176322422
-312.698492618,203.116093914,0.7146004593,0.0037423699,0.0002262485,2.8177064838
-312.717310779,203.122410542,0.7344504721,0.0037468611,0.0002261871,2.8177808144
-312.736129411,203.128725771,0.7543004848,0.0037513466,0.0002256802,2.8178552342
-312.754948513,203.135039598,0.7741504976,0.0037558177,0.000224732,2.8179297429
-312.773768085,203.141352022,0.7940005103,0.0037602656,0.000223347,2.8180043401
-312.792588129,203.147663042,0.8138505231,0.0037646817,0.0002215297,2.8180790253
-312.811408644,203.153972655,0.8337005358,0.0037690575,0.0002192843,2.8181537978
-312.830229631,203.16028086,0.8535505486,0.0037733845,0.0002166154,2.8182286567
-312.849051091,203.166587655,0.8734005614,0.0037776543,0.0002135273,2.8183036009
-312.867873023,203.172893039,0.8932505741,0.0037818588,0.0002100244,2.8183786292
-312.886695429,203.179197009,0.9131005869,0.0037859896,0.0002061111,2.8184537403
-312.905518308,203.185499566,0.9329505996,0.0037900387,0.0002017919,2.8185289326
-312.924341662,203.191800706,0.9528006124,0.0037939981,0.0001970711,2.8186042043
-312.94316549,203.198100428,0.9726506251,0.0037978598,0.0001919532,2.8186795537
-312.961989793,203.204398732,0.9925006379,0.003801616,0.0001864425,2.8187549788
-312.980814571,203.210695615,1.0123506507,0.003805259,0.0001805435,2.8188304773
-312.999639825,203.216991076,1.0322006634,0.0038087811,0.0001742605,2.8189060469
-313.018465554,203.223285114,1.0520506762,0.0038121746,0.000167598,2.8189816851
-313.03729176,203.229577727,1.0719006889,0.0038154322,0.0001605603,2.8190573894
-313.056118442,203.235868914,1.0917507017,0.0038185464,0.000153152,2.8191331569
-313.074945602,203.242158674,1.1116007145,0.00382151,0.0001453773,2.8192089848
-313.093773238,203.248447006,1.1314507272,0.0038243155,0.0001372407,2.8192848699
-313.112601351,203.254733909,1.15130074,0.003826956,0.0001287465,2.8193608091
-313.131429942,203.261019382,1.1711507527,0.0038294244,0.0001198993,2.819436799
-313.150259011,203.267303423,1.1910007655,0.0038317137,0.0001107033,2.8195128362
-313.169088558,203.273586032,1.2108507783,0.0038338171,0.0001011631,2.8195889169
-313.187918583,203.279867208,1.230700791,0.0038357277,0.000091283,2.8196650375
-313.206749086,203.286146951,1.2505508038,0.0038374388,8.1067335E-05,2.8197411941
-313.225580067,203.292425259,1.2704008165,0.0038389439,7.0520622E-05,2.8198173826
-313.244411527,203.298702132,1.2902508293,0.0038402363,5.9647228E-05,2.8198935989
-313.263243465,203.304977569,1.310100842,0.0038413097,4.8451557E-05,2.8199698386
-313.282075881,203.311251571,1.3299508548,0.0038421577,0.000036938,2.8200460975
-313.300908776,203.317524136,1.3498008676,0.0038427741,0.000025111,2.8201223708
-313.319742149,203.323795265,1.3696508803,0.0038431526,1.2974935E-05,2.8201986541
-313.338576001,203.330064957,1.3895008931,0.0038432872,5.34206E-07,2.8202749425
-313.357410331,203.336333212,1.4093509058,0.0038431718,-1.2206776E-05,2.8203512311
-313.376245139,203.34260003,1.4292009186,0.0038428006,-2.5243607E-05,2.8204275148
-313.395080425,203.348865412,1.4490509313,0.0038421677,-3.8571881E-05,2.8205037886
-313.413916189,203.355129357,1.4689009441,0.0038412674,-5.2187194E-05,2.8205800472
-313.43275243,203.361391866,1.4887509569,0.003840094,-6.6085142E-05,2.8206562852
-313.451589149,203.367652939,1.5086009696,0.003838642,-8.0261319E-05,2.8207324972
-313.470426345,203.373912577,1.5284509824,0.0038369058,-9.4711321E-05,2.8208086775
-313.489264017,203.38017078,1.5483009951,0.0038348802,-0.0001094307,2.8208848205
-313.508102166,203.386427549,1.5681510079,0.0038325597,-0.0001244152,2.8209609204
